Middle layer Super Output Areas Code,Middle layer Super Output Areas,Female,Male,Total
E02000622,Lambeth 005,4120,4284,8404
E02000623,Lambeth 006,4017,3842,7859
E02000624,Lambeth 007,4792,4839,9631
E02000625,Lambeth 008,4717,4585,9302
E02000626,Lambeth 009,4399,3963,8362
E02000627,Lambeth 010,5040,4516,9556
E02000628,Lambeth 011,5520,5265,10785
E02000629,Lambeth 012,4597,4520,9117
E02000630,Lambeth 013,3884,3654,7538
E02000631,Lambeth 014,4939,4586,9525
E02000632,Lambeth 015,4898,4688,9586
E02000633,Lambeth 016,4783,4377,9160
E02000634,Lambeth 017,3605,3168,6773
E02000635,Lambeth 018,5069,4743,9812
E02000636,Lambeth 019,3988,3729,7717
E02000637,Lambeth 020,4390,4013,8403
E02000638,Lambeth 021,5122,5133,10255
E02000639,Lambeth 022,4226,4095,8321
E02000640,Lambeth 023,4957,4336,9293
E02000641,Lambeth 024,4706,3924,8630
E02000642,Lambeth 025,5138,4671,9809
E02000643,Lambeth 026,4780,4598,9378
E02000644,Lambeth 027,4466,4055,8521
E02000645,Lambeth 028,5015,4518,9533
E02000646,Lambeth 029,4971,4526,9497
E02000647,Lambeth 030,4478,4115,8593
E02000648,Lambeth 031,4277,3548,7825
E02000649,Lambeth 032,6351,6126,12477
E02000650,Lambeth 033,4051,3615,7666
E02000651,Lambeth 034,4518,4217,8735
E02000652,Lambeth 035,3875,3684,7559
E02000653,Lewisham 001,6435,6173,12608
E02000654,Lewisham 002,4653,4134,8787
E02000655,Lewisham 003,5372,4910,10282
E02000657,Lewisham 005,5298,4608,9906
E02000658,Lewisham 006,4519,4100,8619
E02000659,Lewisham 007,4216,3847,8063
E02000660,Lewisham 008,4318,3888,8206
E02000661,Lewisham 009,3443,3050,6493
E02000662,Lewisham 010,4389,3906,8295
E02000663,Lewisham 011,3633,3163,6796
E02000665,Lewisham 013,4245,3910,8155
E02000666,Lewisham 014,3859,3330,7189
E02000667,Lewisham 015,3521,3166,6687
E02000668,Lewisham 016,3579,3281,6860
E02000669,Lewisham 017,4116,3856,7972
E02000670,Lewisham 018,3524,3182,6706
E02000671,Lewisham 019,4597,4143,8740
E02000672,Lewisham 020,5278,4994,10272
E02000673,Lewisham 021,4223,3916,8139
E02000674,Lewisham 022,4385,4069,8454
E02000675,Lewisham 023,4415,4112,8527
E02000676,Lewisham 024,4220,3596,7816
E02000677,Lewisham 025,3782,3428,7210
E02000678,Lewisham 026,3705,3256,6961
E02000679,Lewisham 027,4282,3851,8133
E02000680,Lewisham 028,3715,3320,7035
E02000681,Lewisham 029,4464,4009,8473
E02000682,Lewisham 030,4727,4205,8932
E02000683,Lewisham 031,3548,3220,6768
E02000685,Lewisham 033,4381,3750,8131
E02000686,Lewisham 034,3982,3555,7537
E02000687,Lewisham 035,4438,3831,8269
E02000689,Merton 001,4735,4319,9054
E02000690,Merton 002,2914,2609,5523
E02000691,Merton 003,3789,3566,7355
E02000692,Merton 004,4036,3619,7655
E02000693,Merton 005,5064,4789,9853
E02000694,Merton 006,4708,4395,9103
E02000695,Merton 007,4296,4345,8641
E02000696,Merton 008,4356,4274,8630
E02000697,Merton 009,4380,4348,8728
E02000698,Merton 010,4334,3901,8235
E02000699,Merton 011,4177,4037,8214
E02000700,Merton 012,4500,4161,8661
E02000701,Merton 013,4597,4414,9011
E02000702,Merton 014,4858,4465,9323
E02000703,Merton 015,4041,3923,7964
E02000704,Merton 016,4469,4132,8601
E02000705,Merton 017,4707,4620,9327
E02000706,Merton 018,5245,4790,10035
E02000707,Merton 019,4286,4020,8306
E02000708,Merton 020,4533,4354,8887
E02000709,Merton 021,4063,3914,7977
E02000710,Merton 022,4732,4454,9186
E02000711,Merton 023,4812,4634,9446
E02000712,Merton 024,4891,4775,9666
E02000713,Merton 025,4007,3795,7802
E02000714,Newham 001,3935,3776,7711
E02000715,Newham 002,3726,3571,7297
E02000716,Newham 003,3603,3747,7350
E02000717,Newham 004,4159,4198,8357
E02000718,Newham 005,3825,3581,7406
E02000719,Newham 006,4081,3995,8076
E02000720,Newham 007,3696,3793,7489
E02000721,Newham 008,4682,4862,9544
E02000722,Newham 009,4107,4034,8141
E02000723,Newham 010,5317,5878,11195
E02000724,Newham 011,4949,5078,10027
E02000725,Newham 012,4966,5021,9987
E02000727,Newham 014,4192,4326,8518
E02000728,Newham 015,4167,4360,8527
E02000729,Newham 016,3603,3724,7327
E02000730,Newham 017,4582,5348,9930
E02000731,Newham 018,4945,5017,9962
E02000732,Newham 019,4461,4439,8900
E02000733,Newham 020,5118,4978,10096
E02000734,Newham 021,3640,3662,7302
E02000735,Newham 022,4323,4286,8609
E02000736,Newham 023,4584,4620,9204
E02000737,Newham 024,5374,5005,10379
E02000738,Newham 025,4687,4891,9578
E02000739,Newham 026,3973,3751,7724
E02000740,Newham 027,3516,3251,6767
E02000741,Newham 028,4223,4022,8245
E02000742,Newham 029,4385,4320,8705
E02000743,Newham 030,5169,5112,10281
E02000744,Newham 031,4750,4422,9172
E02000745,Newham 032,4382,4216,8598
E02000746,Newham 033,4908,4519,9427
E02000747,Newham 034,6490,6608,13098
E02000748,Newham 035,3222,3051,6273
E02000749,Newham 036,4948,4604,9552
E02000751,Redbridge 001,5676,5483,11159
E02000752,Redbridge 002,4565,4217,8782
E02000753,Redbridge 003,3597,3323,6920
E02000754,Redbridge 004,3437,3331,6768
E02000755,Redbridge 005,2849,2634,5483
E02000756,Redbridge 006,7533,7061,14594
E02000757,Redbridge 007,6341,6052,12393
E02000758,Redbridge 008,3536,3349,6885
E02000759,Redbridge 009,6748,6340,13088
E02000760,Redbridge 010,3914,3620,7534
E02000762,Redbridge 012,3333,3288,6621
E02000763,Redbridge 013,4047,3968,8015
E02000764,Redbridge 014,6509,5798,12307
E02000765,Redbridge 015,3743,3785,7528
E02000767,Redbridge 017,4366,4259,8625
E02000768,Redbridge 018,2965,2823,5788
E02000770,Redbridge 020,4066,4059,8125
E02000772,Redbridge 022,4241,4142,8383
E02000773,Redbridge 023,5449,5283,10732
E02000774,Redbridge 024,3912,4197,8109
E02000776,Redbridge 026,3420,3619,7039
E02000777,Redbridge 027,3076,2927,6003
E02000779,Redbridge 029,4240,4178,8418
E02000781,Redbridge 031,8113,8179,16292
E02000782,Redbridge 032,5802,5685,11487
E02000783,Redbridge 033,3631,3764,7395
E02000784,Richmond upon Thames 001,5299,4831,10130
E02000785,Richmond upon Thames 002,5066,4648,9714
E02000786,Richmond upon Thames 003,6031,5341,11372
E02000787,Richmond upon Thames 004,6294,5792,12086
E02000788,Richmond upon Thames 005,4715,4379,9094
E02000789,Richmond upon Thames 006,3318,2983,6301
E02000790,Richmond upon Thames 007,3409,3177,6586
E02000791,Richmond upon Thames 008,3343,3129,6472
E02000792,Richmond upon Thames 009,3702,3446,7148
E02000793,Richmond upon Thames 010,4031,4076,8107
E02000794,Richmond upon Thames 011,3558,3457,7015
E02000795,Richmond upon Thames 012,3575,3352,6927
E02000796,Richmond upon Thames 013,5662,5425,11087
E02000797,Richmond upon Thames 014,4030,3838,7868
E02000798,Richmond upon Thames 015,5987,5319,11306
E02000799,Richmond upon Thames 016,3439,3166,6605
E02000800,Richmond upon Thames 017,2822,2589,5411
E02000801,Richmond upon Thames 018,3760,3350,7110
E02000802,Richmond upon Thames 019,3644,3378,7022
E02000803,Richmond upon Thames 020,5066,4650,9716
E02000804,Richmond upon Thames 021,3791,3358,7149
E02000805,Richmond upon Thames 022,5489,5266,10755
E02000806,Richmond upon Thames 023,5288,5011,10299
E02000807,Southwark 001,4042,4185,8227
E02000808,Southwark 002,5070,5099,10169
E02000810,Southwark 004,6035,5861,11896
E02000812,Southwark 006,5638,5150,10788
E02000813,Southwark 007,5235,4988,10223
E02000814,Southwark 008,5065,5226,10291
E02000815,Southwark 009,3937,3676,7613
E02000816,Southwark 010,4956,4653,9609
E02000817,Southwark 011,3507,3314,6821
E02000818,Southwark 012,4899,4892,9791
E02000819,Southwark 013,4358,4141,8499
E02000820,Southwark 014,4680,4565,9245
E02000821,Southwark 015,4885,4473,9358
E02000822,Southwark 016,3520,3199,6719
E02000823,Southwark 017,4543,4142,8685
E02000824,Southwark 018,5228,4675,9903
E02000825,Southwark 019,5444,4781,10225
E02000826,Southwark 020,5125,4755,9880
E02000827,Southwark 021,5843,5469,11312
E02000828,Southwark 022,4627,4186,8813
E02000829,Southwark 023,5820,5105,10925
E02000830,Southwark 024,4480,4404,8884
E02000831,Southwark 025,4922,4431,9353
E02000832,Southwark 026,5100,4588,9688
E02000833,Southwark 027,3982,3505,7487
E02000834,Southwark 028,5028,4360,9388
E02000835,Southwark 029,4102,3580,7682
E02000836,Southwark 030,4263,4033,8296
E02000837,Southwark 031,4425,4134,8559
E02000838,Southwark 032,4983,4514,9497
E02000839,Southwark 033,4337,4143,8480
E02000840,Sutton 001,4867,4454,9321
E02000841,Sutton 002,4846,4342,9188
E02000842,Sutton 003,4260,4019,8279
E02000843,Sutton 004,4896,4574,9470
E02000844,Sutton 005,4465,4192,8657
E02000845,Sutton 006,4872,4548,9420
E02000846,Sutton 007,3940,3675,7615
E02000847,Sutton 008,4808,4613,9421
E02000848,Sutton 009,4131,4008,8139
E02000849,Sutton 010,4211,3966,8177
E02000850,Sutton 011,5541,5295,10836
E02000851,Sutton 012,5991,5590,11581
E02000852,Sutton 013,4228,3918,8146
E02000853,Sutton 014,4221,3951,8172
E02000854,Sutton 015,3937,3673,7610
E02000855,Sutton 016,4265,3939,8204
E02000856,Sutton 017,4699,4631,9330
E02000857,Sutton 018,4716,4279,8995
E02000858,Sutton 019,4463,4105,8568
E02000859,Sutton 020,4506,3981,8487
E02000860,Sutton 021,4476,4309,8785
E02000861,Sutton 022,3923,3853,7776
E02000863,Sutton 024,3415,3322,6737
E02000864,Tower Hamlets 001,5791,5472,11263
E02000865,Tower Hamlets 002,4162,3799,7961
E02000866,Tower Hamlets 003,5347,5298,10645
E02000867,Tower Hamlets 004,5781,5547,11328
E02000868,Tower Hamlets 005,3658,3538,7196
E02000869,Tower Hamlets 006,3023,2908,5931
E02000870,Tower Hamlets 007,3230,3141,6371
E02000871,Tower Hamlets 008,5836,5678,11514
E02000872,Tower Hamlets 009,4033,4112,8145
E02000873,Tower Hamlets 010,5099,4751,9850
E02000874,Tower Hamlets 011,3774,3722,7496
E02000875,Tower Hamlets 012,6809,6762,13571
E02000876,Tower Hamlets 013,3443,3830,7273
E02000877,Tower Hamlets 014,6771,7038,13809
E02000878,Tower Hamlets 015,5068,5365,10433
E02000879,Tower Hamlets 016,4141,4202,8343
E02000880,Tower Hamlets 017,3234,3280,6514
E02000881,Tower Hamlets 018,5418,5413,10831
E02000882,Tower Hamlets 019,5917,5583,11500
E02000883,Tower Hamlets 020,4605,4682,9287
E02000884,Tower Hamlets 021,6168,6601,12769
E02000885,Tower Hamlets 022,3521,3533,7054
E02000886,Tower Hamlets 023,4443,5148,9591
E02000887,Tower Hamlets 024,5383,5418,10801
E02000888,Tower Hamlets 025,4182,4438,8620
E02000889,Tower Hamlets 026,4306,4659,8965
E02000890,Tower Hamlets 027,2818,2997,5815
E02000893,Tower Hamlets 030,3791,3621,7412
E02000894,Tower Hamlets 031,5536,5471,11007
E02000895,Waltham Forest 001,4270,4099,8369
E02000896,Waltham Forest 002,4830,4498,9328
E02000897,Waltham Forest 003,4550,4017,8567
E02000898,Waltham Forest 004,4075,3936,8011
E02000899,Waltham Forest 005,4522,4289,8811
E02000900,Waltham Forest 006,4562,4411,8973
E02000901,Waltham Forest 007,5340,5152,10492
E02000902,Waltham Forest 008,5150,4810,9960
E02000903,Waltham Forest 009,5352,4923,10275
E02000904,Waltham Forest 010,4265,4159,8424
E02000905,Waltham Forest 011,5389,5084,10473
E02000906,Waltham Forest 012,5030,4623,9653
E02000907,Waltham Forest 013,5458,5122,10580
E02000908,Waltham Forest 014,6703,6199,12902
E02000909,Waltham Forest 015,4797,4450,9247
E02000910,Waltham Forest 016,5783,5646,11429
E02000911,Waltham Forest 017,6618,6345,12963
E02000912,Waltham Forest 018,4919,4824,9743
E02000913,Waltham Forest 019,4776,4866,9642
E02000914,Waltham Forest 020,5891,5907,11798
E02000915,Waltham Forest 021,4143,3968,8111
E02000916,Waltham Forest 022,5321,5242,10563
E02000917,Waltham Forest 023,4914,4675,9589
E02000918,Waltham Forest 024,4548,4775,9323
E02000919,Waltham Forest 025,4636,4603,9239
E02000920,Waltham Forest 026,5224,5075,10299
E02000921,Waltham Forest 027,5616,5583,11199
E02000922,Waltham Forest 028,5268,5193,10461
E02000923,Wandsworth 001,3953,3573,7526
E02000925,Wandsworth 003,4203,3697,7900
E02000926,Wandsworth 004,6075,5565,11640
E02000927,Wandsworth 005,3728,3372,7100
E02000928,Wandsworth 006,4407,3949,8356
E02000929,Wandsworth 007,4330,3774,8104
E02000930,Wandsworth 008,5337,4744,10081
E02000931,Wandsworth 009,4491,4327,8818
E02000932,Wandsworth 010,6671,6172,12843
E02000933,Wandsworth 011,4716,4151,8867
E02000934,Wandsworth 012,4679,4237,8916
E02000935,Wandsworth 013,4038,3334,7372
E02000936,Wandsworth 014,5029,4337,9366
E02000937,Wandsworth 015,4297,3864,8161
E02000938,Wandsworth 016,5724,5042,10766
E02000939,Wandsworth 017,4003,3816,7819
E02000940,Wandsworth 018,4820,4504,9324
E02000941,Wandsworth 019,5360,4815,10175
E02000942,Wandsworth 020,5030,4656,9686
E02000943,Wandsworth 021,4617,4104,8721
E02000944,Wandsworth 022,4022,3616,7638
E02000945,Wandsworth 023,4115,3727,7842
E02000946,Wandsworth 024,4066,4369,8435
E02000947,Wandsworth 025,4959,4382,9341
E02000948,Wandsworth 026,5258,4769,10027
E02000949,Wandsworth 027,5298,4705,10003
E02000950,Wandsworth 028,3996,3589,7585
E02000951,Wandsworth 029,3434,2995,6429
E02000952,Wandsworth 030,3267,2879,6146
E02000953,Wandsworth 031,4113,3392,7505
E02000954,Wandsworth 032,3274,2825,6099
E02000955,Wandsworth 033,3648,3241,6889
E02000956,Wandsworth 034,4044,3376,7420
E02000957,Wandsworth 035,5671,5190,10861
E02000958,Wandsworth 036,4317,3959,8276
E02000959,Wandsworth 037,4110,3756,7866
E02000960,Westminster 001,3293,2862,6155
E02000961,Westminster 002,5118,4696,9814
E02000962,Westminster 003,4117,3586,7703
E02000963,Westminster 004,5548,4974,10522
E02000964,Westminster 005,6493,5649,12142
E02000965,Westminster 006,4085,3791,7876
E02000966,Westminster 007,4758,4494,9252
E02000967,Westminster 008,3149,2907,6056
E02000968,Westminster 009,7610,6870,14480
E02000969,Westminster 010,5108,4499,9607
E02000970,Westminster 011,3464,3373,6837
E02000971,Westminster 012,3615,3858,7473
E02000972,Westminster 013,3828,4051,7879
E02000973,Westminster 014,5094,4861,9955
E02000974,Westminster 015,4403,4302,8705
E02000975,Westminster 016,3709,3709,7418
E02000976,Westminster 017,4352,4080,8432
E02000977,Westminster 018,2976,3412,6388
E02000978,Westminster 019,3769,3359,7128
E02000979,Westminster 020,4136,3954,8090
E02000980,Westminster 021,4478,4246,8724
E02000981,Westminster 022,4042,4229,8271
E02000982,Westminster 023,4153,3485,7638
E02000983,Westminster 024,4032,3663,7695
E02003237,Peterborough 001,3170,2985,6155
E02003238,Peterborough 002,2966,2771,5737
E02003239,Peterborough 003,4252,4077,8329
E02003240,Peterborough 004,3373,3498,6871
E02003241,Peterborough 005,3739,3441,7180
E02003242,Peterborough 006,4399,4047,8446
E02003243,Peterborough 007,6216,5953,12169
E02003244,Peterborough 008,5113,4922,10035
E02003245,Peterborough 009,4168,4076,8244
E02003246,Peterborough 010,4800,5232,10032
E02003247,Peterborough 011,4471,4378,8849
E02003248,Peterborough 012,5802,5772,11574
E02003249,Peterborough 013,6506,6316,12822
E02003250,Peterborough 014,5863,6191,12054
E02003251,Peterborough 015,4040,3882,7922
E02003252,Peterborough 016,6299,6228,12527
E02003253,Peterborough 017,5160,5106,10266
E02003254,Peterborough 018,4698,4540,9238
E02003255,Peterborough 019,7041,6683,13724
E02003257,Peterborough 021,4891,4728,9619
E02003258,Luton 001,4372,4238,8610
E02003259,Luton 002,3527,3272,6799
E02003260,Luton 003,4754,4195,8949
E02003261,Luton 004,3335,3107,6442
E02003262,Luton 005,5697,5492,11189
E02003263,Luton 006,6558,6416,12974
E02003264,Luton 007,4971,4880,9851
E02003265,Luton 008,4169,4063,8232
E02003266,Luton 009,5184,4930,10114
E02003267,Luton 010,7293,7348,14641
E02003268,Luton 011,6473,6476,12949
E02003269,Luton 012,5399,5375,10774
E02003270,Luton 013,4427,4379,8806
E02003271,Luton 014,5044,5171,10215
E02003272,Luton 015,5616,5737,11353
E02003273,Luton 016,6090,5941,12031
E02003274,Luton 017,5711,5828,11539
E02003276,Luton 019,4297,4852,9149
E02003277,Luton 020,5802,5811,11613
E02003278,Luton 021,6392,6885,13277
E02003279,Southend-on-Sea 001,4845,4606,9451
E02003280,Southend-on-Sea 002,5420,5162,10582
E02003281,Southend-on-Sea 003,4892,4550,9442
E02003282,Southend-on-Sea 004,5473,5214,10687
E02003283,Southend-on-Sea 005,5669,5325,10994
E02003284,Southend-on-Sea 006,5789,5419,11208
E02003285,Southend-on-Sea 007,5760,5524,11284
E02003286,Southend-on-Sea 008,4778,4590,9368
E02003287,Southend-on-Sea 009,5341,4810,10151
E02003288,Southend-on-Sea 010,6599,6409,13008
E02003289,Southend-on-Sea 011,5118,4773,9891
E02003290,Southend-on-Sea 012,5062,4864,9926
E02003291,Southend-on-Sea 013,6050,5626,11676
E02003292,Southend-on-Sea 014,6123,5969,12092
E02003293,Southend-on-Sea 015,5847,5845,11692
E02003294,Southend-on-Sea 016,4733,4383,9116
E02003295,Southend-on-Sea 017,5275,4844,10119
E02003296,Thurrock 001,3591,3494,7085
E02003297,Thurrock 002,3806,3506,7312
E02003298,Thurrock 003,3658,3439,7097
E02003299,Thurrock 004,3273,3144,6417
E02003300,Thurrock 005,4538,4410,8948
E02003301,Thurrock 006,6135,5895,12030
E02003302,Thurrock 007,5298,5110,10408
E02003303,Thurrock 008,4850,4668,9518
E02003304,Thurrock 009,4963,4685,9648
E02003305,Thurrock 010,3626,3455,7081
E02003307,Thurrock 012,5478,5144,10622
E02003308,Thurrock 013,3973,3740,7713
E02003309,Thurrock 014,3945,3825,7770
E02003311,Thurrock 016,4632,4672,9304
E02003312,Thurrock 017,4808,4616,9424
E02003313,Thurrock 018,7717,7102,14819
E02003314,Medway 001,3496,3279,6775
E02003315,Medway 002,2861,2863,5724
E02003316,Medway 003,6286,5856,12142
E02003317,Medway 004,3641,3438,7079
E02003318,Medway 005,3043,2925,5968
E02003319,Medway 006,4228,4012,8240
E02003320,Medway 007,4489,4913,9402
E02003321,Medway 008,3369,3123,6492
E02003322,Medway 009,3949,4087,8036
E02003323,Medway 010,3835,3551,7386
E02003324,Medway 011,5166,4912,10078
E02003325,Medway 012,3757,3603,7360
E02003326,Medway 013,3960,3807,7767
E02003327,Medway 014,3833,3623,7456
E02003328,Medway 015,4960,4959,9919
E02003329,Medway 016,3508,3370,6878
E02003330,Medway 017,3479,3303,6782
E02003331,Medway 018,4594,4263,8857
E02003332,Medway 019,3288,2996,6284
E02003333,Medway 020,3418,3386,6804
E02003334,Medway 021,3108,3109,6217
E02003335,Medway 022,3856,3574,7430
E02003336,Medway 023,3258,3098,6356
E02003337,Medway 024,3505,3914,7419
E02003338,Medway 025,3829,3471,7300
E02003339,Medway 026,3297,3144,6441
E02003340,Medway 027,4165,3925,8090
E02003341,Medway 028,3364,3238,6602
E02003342,Medway 029,3256,3166,6422
E02003343,Medway 030,3036,2936,5972
E02003344,Medway 031,3499,3303,6802
E02003345,Medway 032,3252,3002,6254
E02003346,Medway 033,3616,3471,7087
E02003347,Medway 034,3079,3018,6097
E02003348,Medway 035,4154,3940,8094
E02003349,Medway 036,3826,3564,7390
E02003350,Medway 037,3301,3158,6459
E02003351,Medway 038,4087,3829,7916
E02003352,Bracknell Forest 001,2999,2775,5774
E02003353,Bracknell Forest 002,6113,5980,12093
E02003354,Bracknell Forest 003,5261,5005,10266
E02003355,Bracknell Forest 004,3537,3420,6957
E02003356,Bracknell Forest 005,3797,3365,7162
E02003357,Bracknell Forest 006,5146,5047,10193
E02003358,Bracknell Forest 007,5958,5913,11871
E02003359,Bracknell Forest 008,3209,3114,6323
E02003360,Bracknell Forest 009,5889,5734,11623
E02003361,Bracknell Forest 010,3811,3629,7440
E02003362,Bracknell Forest 011,3430,3291,6721
E02003363,Bracknell Forest 012,3621,3477,7098
E02003364,Bracknell Forest 013,3500,3515,7015
E02003365,Bracknell Forest 014,3503,3436,6939
E02003366,Bracknell Forest 015,3389,3743,7132
E02003367,West Berkshire 001,3313,3219,6532
E02003368,West Berkshire 002,2908,2788,5696
E02003369,West Berkshire 003,3195,3204,6399
E02003370,West Berkshire 004,3483,3248,6731
E02003371,West Berkshire 005,3023,2923,5946
E02003372,West Berkshire 006,3959,3889,7848
E02003373,West Berkshire 007,4546,4109,8655
E02003374,West Berkshire 008,2966,2897,5863
E02003375,West Berkshire 009,3144,3049,6193
E02003376,West Berkshire 010,3064,2802,5866
E02003377,West Berkshire 011,5159,5253,10412
E02003378,West Berkshire 012,4063,3946,8009
E02003379,West Berkshire 013,3518,3460,6978
E02003380,West Berkshire 014,4055,4091,8146
E02003381,West Berkshire 015,3094,3020,6114
E02003382,West Berkshire 016,3878,3666,7544
E02003383,West Berkshire 017,3511,3408,6919
E02003384,West Berkshire 018,3273,3206,6479
E02003385,West Berkshire 019,5522,5659,11181
E02003386,West Berkshire 020,4181,4126,8307
E02003387,West Berkshire 021,4863,4726,9589
E02003388,West Berkshire 022,3027,3013,6040
E02003389,Reading 001,4053,3944,7997
E02003390,Reading 002,3927,3825,7752
E02003391,Reading 003,4556,4032,8588
E02003392,Reading 004,4370,4331,8701
E02003393,Reading 005,4232,3929,8161
E02003394,Reading 006,4405,4252,8657
E02003395,Reading 007,5553,5721,11274
E02003396,Reading 008,4803,5033,9836
E02003397,Reading 009,4327,3897,8224
E02003398,Reading 010,5655,5876,11531
E02003400,Reading 012,4547,4423,8970
E02003401,Reading 013,4555,4615,9170
E02003402,Reading 014,5173,5535,10708
E02003403,Reading 015,4870,4512,9382
E02003404,Reading 016,4426,4215,8641
E02003405,Reading 017,6465,6606,13071
E02003406,Reading 018,4114,4131,8245
E02003407,Slough 001,5624,5286,10910
E02003408,Slough 002,5603,5689,11292
E02003409,Slough 003,5354,5090,10444
E02003410,Slough 004,6194,6050,12244
E02003411,Slough 005,6334,6170,12504
E02003412,Slough 006,5252,5154,10406
E02003414,Slough 008,6986,6768,13754
E02003415,Slough 009,6667,6841,13508
E02003416,Slough 010,4971,4841,9812
E02003417,Slough 011,6456,6350,12806
E02003418,Slough 012,5267,5054,10321
E02003419,Slough 013,4603,4380,8983
E02003420,Slough 014,3228,3190,6418
E02003421,Windsor and Maidenhead 001,2966,2707,5673
E02003422,Windsor and Maidenhead 002,6046,5803,11849
E02003423,Windsor and Maidenhead 003,3381,3205,6586
E02003424,Windsor and Maidenhead 004,4747,4564,9311
E02003425,Windsor and Maidenhead 005,6554,6512,13066
E02003426,Windsor and Maidenhead 006,5144,4659,9803
E02003427,Windsor and Maidenhead 007,4144,4040,8184
E02003428,Windsor and Maidenhead 008,4652,4511,9163
E02003429,Windsor and Maidenhead 009,3914,3828,7742
E02003430,Windsor and Maidenhead 010,3057,4465,7522
E02003431,Windsor and Maidenhead 011,3596,3410,7006
E02003432,Windsor and Maidenhead 012,3681,3415,7096
E02003433,Windsor and Maidenhead 013,3345,3126,6471
E02003434,Windsor and Maidenhead 014,4760,4431,9191
E02003435,Windsor and Maidenhead 015,3669,3473,7142
E02003436,Windsor and Maidenhead 016,4534,4503,9037
E02003437,Windsor and Maidenhead 017,3842,3577,7419
E02003438,Windsor and Maidenhead 018,6045,5188,11233
E02003439,Wokingham 001,2840,2687,5527
E02003440,Wokingham 002,4674,4599,9273
E02003441,Wokingham 003,3883,3788,7671
E02003442,Wokingham 004,4329,4160,8489
E02003443,Wokingham 005,3556,3431,6987
E02003444,Wokingham 006,4676,4700,9376
E02003445,Wokingham 007,4455,4319,8774
E02003446,Wokingham 008,5047,4758,9805
E02003447,Wokingham 009,5526,5187,10713
E02003448,Wokingham 010,4125,3995,8120
E02003449,Wokingham 011,3736,3752,7488
E02003450,Wokingham 012,6595,6597,13192
E02003451,Wokingham 013,5178,4540,9718
E02003452,Wokingham 014,4846,4648,9494
E02003453,Wokingham 015,3559,3421,6980
E02003454,Wokingham 016,4530,4223,8753
E02003455,Wokingham 017,5428,5216,10644
E02003456,Wokingham 018,4208,4062,8270
E02003457,Wokingham 019,4966,4836,9802
E02003458,Wokingham 020,4121,4302,8423
E02003459,Milton Keynes 001,4633,4374,9007
E02003460,Milton Keynes 002,5950,5725,11675
E02003461,Milton Keynes 003,3900,3578,7478
E02003462,Milton Keynes 004,4164,3944,8108
E02003463,Milton Keynes 005,3447,3366,6813
E02003464,Milton Keynes 006,3585,3481,7066
E02003465,Milton Keynes 007,3115,2956,6071
E02003466,Milton Keynes 008,3877,3911,7788
E02003467,Milton Keynes 009,3366,3222,6588
E02003468,Milton Keynes 010,4465,4156,8621
E02003469,Milton Keynes 011,2883,2846,5729
E02003470,Milton Keynes 012,3203,2991,6194
E02003471,Milton Keynes 013,3322,3306,6628
E02003472,Milton Keynes 014,4671,5531,10202
E02003473,Milton Keynes 015,2744,2864,5608
E02003474,Milton Keynes 016,4475,4541,9016
E02003476,Milton Keynes 018,4325,4457,8782
E02003478,Milton Keynes 020,3527,3311,6838
