Middle layer Super Output Areas Code,Middle layer Super Output Areas,Female,Male,Total
E02003479,Milton Keynes 021,3893,3788,7681
E02003480,Milton Keynes 022,4119,4033,8152
E02003481,Milton Keynes 023,4274,4099,8373
E02003482,Milton Keynes 024,4496,4248,8744
E02003483,Milton Keynes 025,5690,5525,11215
E02003484,Milton Keynes 026,3719,3434,7153
E02003485,Milton Keynes 027,4301,3964,8265
E02003486,Milton Keynes 028,5219,4969,10188
E02003487,Milton Keynes 029,3816,3572,7388
E02003488,Milton Keynes 030,4302,4166,8468
E02003489,Milton Keynes 031,3930,3708,7638
E02003490,Milton Keynes 032,5786,5416,11202
E02003491,Brighton and Hove 001,4014,3776,7790
E02003492,Brighton and Hove 002,5391,4724,10115
E02003493,Brighton and Hove 003,4173,3889,8062
E02003494,Brighton and Hove 004,3451,3189,6640
E02003495,Brighton and Hove 005,3785,3370,7155
E02003496,Brighton and Hove 006,4001,3750,7751
E02003497,Brighton and Hove 007,3841,3740,7581
E02003498,Brighton and Hove 008,4398,4149,8547
E02003499,Brighton and Hove 009,3994,3855,7849
E02003500,Brighton and Hove 010,4198,3874,8072
E02003501,Brighton and Hove 011,4260,4125,8385
E02003502,Brighton and Hove 012,4003,3777,7780
E02003503,Brighton and Hove 013,4716,4364,9080
E02003504,Brighton and Hove 014,4342,4214,8556
E02003505,Brighton and Hove 015,4614,4353,8967
E02003506,Brighton and Hove 016,3668,3495,7163
E02003507,Brighton and Hove 017,5059,4714,9773
E02003508,Brighton and Hove 018,4515,4190,8705
E02003509,Brighton and Hove 019,4566,4324,8890
E02003510,Brighton and Hove 020,4435,4216,8651
E02003511,Brighton and Hove 021,4534,4112,8646
E02003512,Brighton and Hove 022,4766,4189,8955
E02003513,Brighton and Hove 023,3442,3046,6488
E02003514,Brighton and Hove 024,4115,4351,8466
E02003515,Brighton and Hove 025,4731,4358,9089
E02003516,Brighton and Hove 026,4151,4029,8180
E02003517,Brighton and Hove 027,5154,5584,10738
E02003518,Brighton and Hove 028,3920,3656,7576
E02003519,Brighton and Hove 029,3948,4290,8238
E02003520,Brighton and Hove 030,4441,4730,9171
E02003521,Brighton and Hove 031,3796,4282,8078
E02003522,Brighton and Hove 032,3851,3956,7807
E02003523,Brighton and Hove 033,5268,4890,10158
E02003524,Portsmouth 001,4195,3920,8115
E02003525,Portsmouth 002,3407,3033,6440
E02003526,Portsmouth 003,3527,3304,6831
E02003527,Portsmouth 004,3238,3144,6382
E02003529,Portsmouth 006,4348,3980,8328
E02003530,Portsmouth 007,4025,3840,7865
E02003531,Portsmouth 008,3908,3812,7720
E02003532,Portsmouth 009,3972,3901,7873
E02003533,Portsmouth 010,2988,2797,5785
E02003534,Portsmouth 011,4453,4441,8894
E02003535,Portsmouth 012,4864,4800,9664
E02003536,Portsmouth 013,4210,3802,8012
E02003537,Portsmouth 014,5217,5044,10261
E02003538,Portsmouth 015,5127,5229,10356
E02003540,Portsmouth 017,4857,4577,9434
E02003541,Portsmouth 018,5513,5424,10937
E02003542,Portsmouth 019,4335,4496,8831
E02003543,Portsmouth 020,4212,4573,8785
E02003544,Portsmouth 021,3258,3061,6319
E02003545,Portsmouth 022,3252,3496,6748
E02003546,Portsmouth 023,4017,3910,7927
E02003547,Portsmouth 024,3853,4234,8087
E02003548,Portsmouth 025,3043,3122,6165
E02003549,Southampton 001,4216,4278,8494
E02003550,Southampton 002,4040,3847,7887
E02003551,Southampton 003,3078,3410,6488
E02003552,Southampton 004,3144,2991,6135
E02003553,Southampton 005,3444,3831,7275
E02003554,Southampton 006,3124,2946,6070
E02003555,Southampton 007,4429,4274,8703
E02003556,Southampton 008,2907,2844,5751
E02003557,Southampton 009,3343,3456,6799
E02003558,Southampton 010,3725,3524,7249
E02003559,Southampton 011,4010,3827,7837
E02003560,Southampton 012,3824,3644,7468
E02003561,Southampton 013,3871,4052,7923
E02003562,Southampton 014,4183,4135,8318
E02003563,Southampton 015,4072,3946,8018
E02003564,Southampton 016,4241,3845,8086
E02003565,Southampton 017,3130,3629,6759
E02003566,Southampton 018,3331,3071,6402
E02003567,Southampton 019,4068,3995,8063
E02003568,Southampton 020,3965,4301,8266
E02003569,Southampton 021,3764,4052,7816
E02003570,Southampton 022,5375,6234,11609
E02003571,Southampton 023,4347,4619,8966
E02003572,Southampton 024,3102,3076,6178
E02003573,Southampton 025,4130,3745,7875
E02003574,Southampton 026,3831,3829,7660
E02003575,Southampton 027,3398,3136,6534
E02003576,Southampton 028,4115,4011,8126
E02003578,Southampton 030,3180,3157,6337
E02003579,Southampton 031,4892,4693,9585
E02003580,Southampton 032,3182,3019,6201
E02003581,Isle of Wight 001,4053,3747,7800
E02003582,Isle of Wight 002,4476,4107,8583
E02003583,Isle of Wight 003,3962,3745,7707
E02003584,Isle of Wight 004,3046,3081,6127
E02003585,Isle of Wight 005,3469,3129,6598
E02003586,Isle of Wight 006,4042,3650,7692
E02003587,Isle of Wight 007,4464,4109,8573
E02003588,Isle of Wight 008,4349,4915,9264
E02003589,Isle of Wight 009,3785,3626,7411
E02003590,Isle of Wight 010,3826,3499,7325
E02003591,Isle of Wight 011,4854,4562,9416
E02003592,Isle of Wight 012,5091,4602,9693
E02003593,Isle of Wight 013,2718,2540,5258
E02003594,Isle of Wight 014,4844,4456,9300
E02003595,Isle of Wight 015,4160,3862,8022
E02003596,Isle of Wight 016,4533,4179,8712
E02003597,Isle of Wight 017,2929,2771,5700
E02003598,Isle of Wight 018,3766,3509,7275
E02003599,Central Bedfordshire 001,2892,2857,5749
E02003600,Central Bedfordshire 002,3264,3164,6428
E02003601,Central Bedfordshire 003,4135,4021,8156
E02003602,Central Bedfordshire 004,3372,3191,6563
E02003603,Central Bedfordshire 005,5663,5651,11314
E02003604,Central Bedfordshire 006,5706,5521,11227
E02003605,Central Bedfordshire 007,5088,5206,10294
E02003606,Central Bedfordshire 008,4744,4581,9325
E02003607,Central Bedfordshire 009,5776,5430,11206
E02003608,Central Bedfordshire 010,6226,5959,12185
E02003609,Central Bedfordshire 011,5945,5901,11846
E02003610,Central Bedfordshire 012,4588,4384,8972
E02003611,Central Bedfordshire 013,5047,4841,9888
E02003612,Central Bedfordshire 014,6405,6015,12420
E02003613,Central Bedfordshire 015,2884,2830,5714
E02003614,Central Bedfordshire 016,4086,4055,8141
E02003615,Central Bedfordshire 017,5313,5193,10506
E02003616,Bedford 001,2908,2765,5673
E02003617,Bedford 002,4596,4439,9035
E02003618,Bedford 003,4556,4201,8757
E02003619,Bedford 004,6067,5787,11854
E02003620,Bedford 005,4150,4011,8161
E02003621,Bedford 006,4163,3898,8061
E02003622,Bedford 007,4815,4395,9210
E02003623,Bedford 008,6518,6310,12828
E02003624,Bedford 009,2950,2985,5935
E02003625,Bedford 010,4234,4636,8870
E02003626,Bedford 011,2847,2761,5608
E02003627,Bedford 012,5181,5466,10647
E02003628,Bedford 013,4830,4948,9778
E02003629,Bedford 014,5499,5185,10684
E02003630,Bedford 015,5784,5587,11371
E02003631,Bedford 016,2814,2693,5507
E02003632,Bedford 017,3165,3042,6207
E02003633,Bedford 018,5365,5197,10562
E02003635,Bedford 020,5348,4998,10346
E02003636,Central Bedfordshire 018,3740,3542,7282
E02003637,Central Bedfordshire 019,5404,5294,10698
E02003638,Central Bedfordshire 020,3843,3844,7687
E02003639,Central Bedfordshire 021,4921,4663,9584
E02003640,Central Bedfordshire 022,3007,3038,6045
E02003641,Central Bedfordshire 023,2709,2649,5358
E02003642,Central Bedfordshire 025,4828,4778,9606
E02003643,Central Bedfordshire 024,6952,6774,13726
E02003644,Central Bedfordshire 026,5149,4908,10057
E02003645,Central Bedfordshire 027,3463,3520,6983
E02003646,Central Bedfordshire 028,5373,5294,10667
E02003647,Central Bedfordshire 029,5325,5182,10507
E02003648,Central Bedfordshire 030,2799,2722,5521
E02003649,Central Bedfordshire 031,3326,3280,6606
E02003650,Central Bedfordshire 032,3537,3459,6996
E02003651,Central Bedfordshire 033,3613,3380,6993
E02003652,Buckinghamshire 001,5360,5196,10556
E02003653,Buckinghamshire 002,3487,3265,6752
E02003654,Buckinghamshire 003,2963,2825,5788
E02003655,Buckinghamshire 004,5272,5090,10362
E02003656,Buckinghamshire 005,3447,3193,6640
E02003657,Buckinghamshire 006,3808,3660,7468
E02003658,Buckinghamshire 007,5129,4879,10008
E02003659,Buckinghamshire 009,5040,4748,9788
E02003660,Buckinghamshire 008,5484,5318,10802
E02003661,Buckinghamshire 010,2742,3150,5892
E02003662,Buckinghamshire 012,3137,3077,6214
E02003663,Buckinghamshire 011,7229,6879,14108
E02003664,Buckinghamshire 013,4129,3992,8121
E02003665,Buckinghamshire 014,2995,3188,6183
E02003666,Buckinghamshire 015,3786,3812,7598
E02003667,Buckinghamshire 016,4747,4644,9391
E02003668,Buckinghamshire 018,4486,4282,8768
E02003669,Buckinghamshire 017,3674,3742,7416
E02003670,Buckinghamshire 019,4681,4480,9161
E02003671,Buckinghamshire 020,3055,2910,5965
E02003672,Buckinghamshire 021,6397,6063,12460
E02003673,Buckinghamshire 022,4904,4545,9449
E02003674,Buckinghamshire 023,2887,2671,5558
E02003675,Buckinghamshire 024,4687,4966,9653
E02003676,Buckinghamshire 029,4138,4008,8146
E02003677,Buckinghamshire 027,5335,5073,10408
E02003678,Buckinghamshire 028,2939,2882,5821
E02003679,Buckinghamshire 030,3564,3304,6868
E02003680,Buckinghamshire 031,5032,4793,9825
E02003681,Buckinghamshire 032,5383,5181,10564
E02003682,Buckinghamshire 034,3877,3696,7573
E02003683,Buckinghamshire 035,3751,3413,7164
E02003685,Buckinghamshire 047,4155,3851,8006
E02003686,Buckinghamshire 050,3941,3618,7559
E02003687,Buckinghamshire 054,3051,2768,5819
E02003688,Buckinghamshire 053,6375,5860,12235
E02003689,Buckinghamshire 058,4759,4502,9261
E02003690,Buckinghamshire 059,3917,3557,7474
E02003691,Buckinghamshire 063,3766,3528,7294
E02003692,Buckinghamshire 064,4625,4264,8889
E02003693,Buckinghamshire 065,3704,3513,7217
E02003694,Buckinghamshire 066,4416,4027,8443
E02003695,Buckinghamshire 067,5487,5320,10807
E02003696,Buckinghamshire 026,4505,4042,8547
E02003697,Buckinghamshire 025,3233,3077,6310
E02003698,Buckinghamshire 033,4165,4105,8270
E02003699,Buckinghamshire 037,2984,2868,5852
E02003701,Buckinghamshire 038,6242,6060,12302
E02003702,Buckinghamshire 040,4090,4098,8188
E02003703,Buckinghamshire 041,4459,4506,8965
E02003704,Buckinghamshire 045,2938,2873,5811
E02003705,Buckinghamshire 042,3551,3556,7107
E02003706,Buckinghamshire 043,3465,3303,6768
E02003707,Buckinghamshire 044,3402,3348,6750
E02003708,Buckinghamshire 046,4793,4982,9775
E02003709,Buckinghamshire 048,2966,2795,5761
E02003710,Buckinghamshire 049,6742,6178,12920
E02003711,Buckinghamshire 051,4946,4800,9746
E02003712,Buckinghamshire 052,4235,3900,8135
E02003713,Buckinghamshire 055,3065,2834,5899
E02003714,Buckinghamshire 056,3467,3283,6750
E02003715,Buckinghamshire 057,3324,3247,6571
E02003716,Buckinghamshire 060,3064,2866,5930
E02003717,Buckinghamshire 062,4798,4313,9111
E02003718,Buckinghamshire 061,2942,2720,5662
E02003719,Cambridge 001,5044,5269,10313
E02003720,Cambridge 002,4878,4842,9720
E02003721,Cambridge 003,4826,4890,9716
E02003722,Cambridge 004,4311,4174,8485
E02003723,Cambridge 005,6175,6806,12981
E02003724,Cambridge 006,5122,5220,10342
E02003725,Cambridge 007,7957,8289,16246
E02003726,Cambridge 008,4155,4075,8230
E02003727,Cambridge 009,5010,5179,10189
E02003728,Cambridge 010,5411,5413,10824
E02003729,Cambridge 011,4705,4638,9343
E02003731,Cambridge 013,6085,5842,11927
E02003732,East Cambridgeshire 001,4982,4928,9910
E02003733,East Cambridgeshire 002,4285,4187,8472
E02003734,East Cambridgeshire 003,6181,5779,11960
E02003735,East Cambridgeshire 004,4413,4200,8613
E02003736,East Cambridgeshire 005,5216,5063,10279
E02003737,East Cambridgeshire 006,6719,6523,13242
E02003738,East Cambridgeshire 007,3218,3181,6399
E02003739,East Cambridgeshire 008,3257,3150,6407
E02003740,East Cambridgeshire 009,3256,3024,6280
E02003742,Fenland 001,3474,3334,6808
E02003743,Fenland 002,5683,5396,11079
E02003744,Fenland 003,7002,6716,13718
E02003745,Fenland 004,5302,5059,10361
E02003746,Fenland 005,3771,4044,7815
E02003747,Fenland 006,6546,6134,12680
E02003748,Fenland 007,4009,3650,7659
E02003749,Fenland 008,3113,3014,6127
E02003750,Fenland 009,3857,3631,7488
E02003751,Fenland 010,3853,3690,7543
E02003752,Fenland 011,5655,5532,11187
E02003753,Huntingdonshire 001,5737,5462,11199
E02003754,Huntingdonshire 002,2887,2775,5662
E02003755,Huntingdonshire 003,4357,4240,8597
E02003756,Huntingdonshire 004,3621,3464,7085
E02003757,Huntingdonshire 005,3579,3371,6950
E02003758,Huntingdonshire 006,4843,4839,9682
E02003759,Huntingdonshire 007,2967,2927,5894
E02003760,Huntingdonshire 008,4578,4479,9057
E02003761,Huntingdonshire 009,3036,2938,5974
E02003762,Huntingdonshire 010,5883,5665,11548
E02003763,Huntingdonshire 011,4817,4783,9600
E02003764,Huntingdonshire 012,5224,5175,10399
E02003765,Huntingdonshire 013,3664,3555,7219
E02003766,Huntingdonshire 014,3976,3913,7889
E02003767,Huntingdonshire 015,3208,3166,6374
E02003768,Huntingdonshire 016,5146,4893,10039
E02003769,Huntingdonshire 017,3241,4221,7462
E02003770,Huntingdonshire 018,5548,5387,10935
E02003771,Huntingdonshire 019,3191,3093,6284
E02003772,Huntingdonshire 020,3412,3303,6715
E02003773,Huntingdonshire 021,5321,5220,10541
E02003774,Huntingdonshire 022,2913,2814,5727
E02003775,South Cambridgeshire 001,3686,3553,7239
E02003776,South Cambridgeshire 002,3411,3368,6779
E02003777,South Cambridgeshire 003,5024,4913,9937
E02003778,South Cambridgeshire 004,3311,3214,6525
E02003780,South Cambridgeshire 006,5784,5644,11428
E02003781,South Cambridgeshire 007,3074,3018,6092
E02003784,South Cambridgeshire 010,4584,4307,8891
E02003785,South Cambridgeshire 011,4583,4369,8952
E02003786,South Cambridgeshire 012,3357,3178,6535
E02003787,South Cambridgeshire 013,3938,3719,7657
E02003788,South Cambridgeshire 014,4107,4014,8121
E02003789,South Cambridgeshire 015,3739,3532,7271
E02003790,South Cambridgeshire 016,4791,4513,9304
E02003791,South Cambridgeshire 017,4162,4106,8268
E02003792,South Cambridgeshire 018,5041,4833,9874
E02003793,South Cambridgeshire 019,3667,3571,7238
E02004356,Eastbourne 001,3815,3577,7392
E02004357,Eastbourne 002,4013,3673,7686
E02004358,Eastbourne 003,4281,3760,8041
E02004359,Eastbourne 004,4116,3635,7751
E02004361,Eastbourne 006,4321,3867,8188
E02004362,Eastbourne 007,4639,4186,8825
E02004363,Eastbourne 008,3552,3409,6961
E02004364,Eastbourne 009,4393,3807,8200
E02004365,Eastbourne 010,4184,4240,8424
E02004366,Eastbourne 011,3958,3685,7643
E02004367,Eastbourne 012,3630,3117,6747
E02004368,Hastings 001,4217,4076,8293
E02004369,Hastings 002,5296,4754,10050
E02004370,Hastings 003,4213,3893,8106
E02004371,Hastings 004,3794,3343,7137
E02004372,Hastings 005,3769,3380,7149
E02004373,Hastings 006,4469,4327,8796
E02004374,Hastings 007,3802,3490,7292
E02004375,Hastings 008,4224,4140,8364
E02004376,Hastings 009,3411,3467,6878
E02004377,Hastings 010,5534,5175,10709
E02004378,Hastings 011,4120,4101,8221
E02004379,Lewes 001,3886,3764,7650
E02004380,Lewes 002,5051,4593,9644
E02004381,Lewes 003,4886,4489,9375
E02004382,Lewes 004,3409,3104,6513
E02004383,Lewes 005,3730,3609,7339
E02004384,Lewes 006,3812,3582,7394
E02004385,Lewes 007,3996,3663,7659
E02004386,Lewes 008,3362,3259,6621
E02004387,Lewes 009,3107,2962,6069
E02004388,Lewes 010,3983,3793,7776
E02004389,Lewes 011,4868,4474,9342
E02004390,Lewes 012,4255,3779,8034
E02004391,Lewes 013,3448,3040,6488
E02004392,Rother 001,4727,4556,9283
E02004393,Rother 002,3284,3065,6349
E02004394,Rother 003,4007,3902,7909
E02004395,Rother 004,3982,3641,7623
E02004396,Rother 005,4773,4465,9238
E02004397,Rother 006,4309,3827,8136
E02004398,Rother 007,5015,4306,9321
E02004399,Rother 008,4343,3704,8047
E02004400,Rother 009,5548,4982,10530
E02004401,Rother 010,4109,3602,7711
E02004402,Rother 011,4790,4170,8960
E02004403,Wealden 001,3402,3032,6434
E02004404,Wealden 002,3266,3140,6406
E02004405,Wealden 003,3114,2915,6029
E02004406,Wealden 004,3764,3522,7286
E02004407,Wealden 005,4253,3850,8103
E02004408,Wealden 006,4232,4143,8375
E02004409,Wealden 007,2729,2594,5323
E02004410,Wealden 008,4052,3938,7990
E02004411,Wealden 009,4485,4025,8510
E02004412,Wealden 010,4188,3892,8080
E02004413,Wealden 011,3753,3570,7323
E02004414,Wealden 012,3360,3166,6526
E02004415,Wealden 013,3403,3296,6699
E02004416,Wealden 014,3304,3171,6475
E02004417,Wealden 015,3436,3081,6517
E02004418,Wealden 016,3042,2749,5791
E02004419,Wealden 017,3324,3008,6332
E02004420,Wealden 018,7274,6675,13949
E02004421,Wealden 019,4859,4480,9339
E02004422,Wealden 020,5754,5352,11106
E02004423,Wealden 021,4020,3538,7558
E02004424,Basildon 001,3644,3471,7115
E02004425,Basildon 002,3843,3500,7343
E02004426,Basildon 003,4100,4001,8101
E02004427,Basildon 004,4178,3886,8064
E02004428,Basildon 005,3624,3340,6964
E02004429,Basildon 006,3863,3713,7576
E02004430,Basildon 007,4257,4181,8438
E02004431,Basildon 008,4983,4739,9722
E02004432,Basildon 009,3247,3196,6443
E02004433,Basildon 010,4533,4203,8736
E02004434,Basildon 011,4385,4161,8546
E02004435,Basildon 012,5048,4742,9790
E02004436,Basildon 013,4145,3763,7908
E02004437,Basildon 014,5246,4822,10068
E02004438,Basildon 015,5088,4525,9613
E02004439,Basildon 016,5090,4793,9883
E02004440,Basildon 017,4685,4478,9163
E02004441,Basildon 018,4023,3806,7829
E02004442,Basildon 019,4439,4177,8616
E02004443,Basildon 020,5276,5038,10314
E02004444,Basildon 021,4601,4443,9044
E02004445,Basildon 022,4206,4092,8298
E02004446,Braintree 001,3520,3501,7021
E02004447,Braintree 002,2999,2972,5971
E02004448,Braintree 003,3980,3837,7817
E02004449,Braintree 004,4567,4315,8882
E02004450,Braintree 005,3146,3133,6279
E02004451,Braintree 006,4849,4645,9494
E02004452,Braintree 007,4757,4583,9340
E02004453,Braintree 008,3829,3623,7452
E02004454,Braintree 009,4731,4710,9441
E02004455,Braintree 010,4040,3908,7948
E02004456,Braintree 011,4962,4870,9832
E02004457,Braintree 012,5427,5185,10612
E02004458,Braintree 013,4950,4586,9536
E02004459,Braintree 014,5309,5100,10409
E02004460,Braintree 015,4994,4774,9768
E02004461,Braintree 016,2989,2753,5742
E02004462,Braintree 017,5945,5639,11584
E02004463,Braintree 018,4151,3988,8139
E02004464,Brentwood 001,5097,4769,9866
E02004465,Brentwood 002,3302,3062,6364
E02004466,Brentwood 003,4265,3966,8231
E02004467,Brentwood 004,4259,3979,8238
E02004468,Brentwood 005,5382,5236,10618
E02004469,Brentwood 006,3735,3529,7264
E02004470,Brentwood 007,6009,5756,11765
E02004471,Brentwood 008,4410,4108,8518
E02004472,Brentwood 009,3129,3055,6184
E02004473,Castle Point 001,4051,3772,7823
E02004474,Castle Point 002,4150,3802,7952
E02004475,Castle Point 003,3365,3261,6626
E02004476,Castle Point 004,4142,3937,8079
E02004477,Castle Point 005,3155,2891,6046
E02004478,Castle Point 006,3465,3221,6686
E02004479,Castle Point 007,4118,3929,8047
E02004480,Castle Point 008,3543,3432,6975
E02004481,Castle Point 009,3472,3173,6645
E02004482,Castle Point 010,4349,3993,8342
E02004483,Castle Point 011,4145,3853,7998
E02004484,Castle Point 012,4269,4096,8365
E02004485,Chelmsford 001,5082,4779,9861
E02004486,Chelmsford 002,4449,4181,8630
E02004487,Chelmsford 003,3938,3688,7626
E02004488,Chelmsford 004,5132,4866,9998
E02004489,Chelmsford 005,4835,4662,9497
E02004490,Chelmsford 006,4124,3783,7907
E02004491,Chelmsford 007,3750,3727,7477
E02004492,Chelmsford 008,4733,4615,9348
E02004493,Chelmsford 009,5226,5123,10349
E02004495,Chelmsford 011,4386,3923,8309
E02004496,Chelmsford 012,4124,4100,8224
E02004497,Chelmsford 013,4006,3819,7825
E02004498,Chelmsford 014,5065,4826,9891
E02004499,Chelmsford 015,3445,3392,6837
E02004500,Chelmsford 016,4770,4475,9245
E02004501,Chelmsford 017,3628,3421,7049
E02004502,Chelmsford 018,3586,3645,7231
E02004503,Chelmsford 019,4065,3952,8017
E02004504,Chelmsford 020,4104,3905,8009
E02004505,Chelmsford 021,3301,3207,6508
E02004506,Colchester 001,3653,3495,7148
E02004507,Colchester 002,4962,4727,9689
E02004508,Colchester 003,3339,3227,6566
E02004512,Colchester 007,5754,5560,11314
E02004513,Colchester 008,5790,5559,11349
E02004514,Colchester 009,3074,2750,5824
E02004515,Colchester 010,4899,4810,9709
E02004516,Colchester 011,6838,6541,13379
E02004517,Colchester 012,4980,4632,9612
E02004518,Colchester 013,4031,4050,8081
E02004519,Colchester 014,3921,3577,7498
E02004520,Colchester 015,4892,4809,9701
E02004521,Colchester 016,4898,4547,9445
E02004522,Colchester 017,4608,4376,8984
E02004523,Colchester 018,5386,5116,10502
E02004524,Colchester 019,4175,4125,8300
E02004525,Colchester 020,4180,3908,8088
E02004526,Colchester 021,3767,3454,7221
E02004527,Epping Forest 001,4700,4581,9281
E02004528,Epping Forest 002,4414,4403,8817
E02004529,Epping Forest 003,3726,3648,7374
E02004530,Epping Forest 004,3724,3414,7138
E02004531,Epping Forest 005,3736,3426,7162
E02004532,Epping Forest 006,3323,3092,6415
E02004533,Epping Forest 007,3972,3742,7714
E02004534,Epping Forest 008,4614,4459,9073
E02004535,Epping Forest 009,3106,2965,6071
E02004536,Epping Forest 010,3172,3064,6236
E02004537,Epping Forest 011,4968,4558,9526
E02004538,Epping Forest 012,5098,4765,9863
E02004539,Epping Forest 013,4070,3853,7923
E02004540,Epping Forest 014,3118,2916,6034
E02004541,Epping Forest 015,6088,5662,11750
E02004542,Epping Forest 016,3557,3442,6999
E02004543,Epping Forest 017,4001,3601,7602
E02004544,Harlow 001,5705,5478,11183
E02004545,Harlow 002,4111,3860,7971
E02004546,Harlow 003,4284,4128,8412
E02004547,Harlow 004,5243,4818,10061
E02004548,Harlow 005,4565,4376,8941
E02004549,Harlow 006,4189,3969,8158
E02004550,Harlow 007,4501,4320,8821
E02004551,Harlow 008,3950,3659,7609
E02004552,Harlow 009,3362,3230,6592
E02004553,Harlow 010,4101,3745,7846
E02004554,Harlow 011,3909,3824,7733
E02004555,Maldon 001,3284,3203,6487
E02004556,Maldon 002,3847,3705,7552
E02004557,Maldon 003,4623,4287,8910
E02004558,Maldon 004,3624,3285,6909
E02004559,Maldon 005,4112,3917,8029
E02004560,Maldon 006,4555,4529,9084
E02004561,Maldon 007,5208,5181,10389
E02004562,Maldon 008,4564,4288,8852
E02004563,Rochford 001,3394,3199,6593
E02004564,Rochford 002,4035,3880,7915
E02004566,Rochford 004,2909,2745,5654
E02004567,Rochford 005,4185,3940,8125
E02004568,Rochford 006,4549,4313,8862
E02004569,Rochford 007,4469,4181,8650
E02004570,Rochford 008,4565,4126,8691
E02004571,Rochford 009,4065,3750,7815
E02004572,Rochford 010,4065,3862,7927
E02004573,Tendring 001,3314,3104,6418
E02004574,Tendring 002,4069,3794,7863
E02004575,Tendring 003,6259,5830,12089
E02004576,Tendring 004,4704,4435,9139
E02004577,Tendring 005,3046,3062,6108
E02004578,Tendring 006,4075,3552,7627
E02004579,Tendring 007,4030,3883,7913
E02004580,Tendring 008,6474,5811,12285
E02004581,Tendring 009,4317,4190,8507
E02004582,Tendring 010,3678,3294,6972
E02004583,Tendring 011,4558,4349,8907
E02004584,Tendring 012,3464,3120,6584
E02004585,Tendring 013,4709,4329,9038
E02004586,Tendring 014,4323,3923,8246
E02004587,Tendring 015,4031,3705,7736
E02004588,Tendring 016,3680,3529,7209
E02004589,Tendring 017,3876,3537,7413
E02004590,Tendring 018,4207,4028,8235
E02004591,Uttlesford 001,3965,3661,7626
E02004592,Uttlesford 002,6813,6314,13127
E02004593,Uttlesford 003,4531,4435,8966
E02004594,Uttlesford 004,4148,4164,8312
E02004595,Uttlesford 005,7557,7280,14837
E02004596,Uttlesford 006,5353,5267,10620
E02004597,Uttlesford 007,4687,4337,9024
E02004598,Uttlesford 008,5659,5375,11034
E02004599,Uttlesford 009,3979,3814,7793
E02004675,Basingstoke and Deane 001,3912,3813,7725
E02004676,Basingstoke and Deane 002,4054,3933,7987
E02004677,Basingstoke and Deane 003,3828,3742,7570
E02004678,Basingstoke and Deane 004,3839,3739,7578
E02004679,Basingstoke and Deane 005,5670,5441,11111
E02004680,Basingstoke and Deane 006,3940,3908,7848
E02004681,Basingstoke and Deane 007,7616,7314,14930
E02004682,Basingstoke and Deane 008,4173,4165,8338
E02004683,Basingstoke and Deane 009,4070,4089,8159
E02004684,Basingstoke and Deane 010,5801,5573,11374
E02004685,Basingstoke and Deane 011,3768,4119,7887
E02004686,Basingstoke and Deane 012,4393,4439,8832
